time,open,high,low,close,Volume,Volume MA
2017-01-03,5.34,5.88,5.34,5.88,0,NaN
2017-02-01,5.79,5.91,5.42,5.75,0,NaN
2017-03-01,6.44,6.44,5.15,5.22,0,NaN
2017-04-03,5.39,5.61,5.05,5.12,0,NaN
2017-05-01,5.12,5.76,4.9,5.53,0,NaN
2017-06-01,5.63,5.73,5.34,5.6,0,NaN
2017-07-03,5.71,6.06,5.61,5.91,0,NaN
2017-08-01,5.98,6.88,5.95,6.72,0,NaN
2017-09-01,6.61,7.96,6.61,7.77,0,NaN
2017-10-02,7.64,8.42,7.6,7.99,0,NaN
2017-11-01,8.13,8.54,7.99,8.15,0,NaN
2017-12-01,8.31,8.82,7.73,8.78,0,NaN
2018-01-02,8.4,10.26,8.25,10.09,0,NaN
2018-02-01,10.09,11.07,9.6,11.03,0,NaN
2018-03-01,10.92,14.7,10.92,14.49,0,NaN
2018-04-02,14.49,15.37,13.86,15.06,0,NaN
2018-05-01,14.89,17.95,14.46,16.64,0,NaN
2018-06-01,17.03,17.9,16.17,17.02,0,NaN
2018-07-02,17.13,20.13,17.13,20.13,0,NaN
2018-08-01,20.48,24.85,20.32,24.6,0,0
2018-09-03,23.68,28.83,22.7,26.25,0,0
2018-10-01,26.94,28.58,19.88,19.99,76,3.8
2018-11-01,19.56,24.98,19.56,24.41,0,3.8
2018-12-03,24.49,28.75,23.58,28.56,0,3.8
2019-01-02,28.87,28.87,25.19,25.19,0,3.8
2019-02-01,24.84,26.53,21.68,24.39,0,3.8
2019-03-01,24.99,26.02,23.21,24.04,0,3.8
2019-04-01,24.08,29.9,24.08,28.55,21,4.85
2019-05-01,27.97,29.05,26.27,26.27,0,4.85
2019-06-03,25.56,29.55,25.56,28.34,50,7.35
2019-07-01,29.03,32.49,28.16,30.52,0,7.35
2019-08-01,31.98,31.98,27.28,28.35,0,7.35
2019-09-02,27.14,28.89,26.6,26.6,0,7.35
2019-10-01,26.89,28.09,24.36,27.08,10,7.85
2019-11-01,26.75,27.1,24.86,26.67,0,7.85
2019-12-02,25.79,28.09,25.44,25.89,10,8.35
2020-01-02,25.61,26.66,24.81,24.95,29,9.8
2020-02-03,24.28,26.79,24.22,24.68,63,12.95
2020-03-02,24.59,25.16,16.85,19.27,413,33.6
2020-04-01,18.67,23.3,18.67,21.22,1490,108.1
2020-05-01,20.62,23.22,20.11,22.99,64,111.3
2020-06-01,22.82,28.6,22.56,28.6,85,111.75
2020-07-01,29.66,32.18,27.19,28.6,370,130.25
2020-08-03,28.48,31.68,27.69,30.83,407,150.6
2020-09-01,29.91,32.34,27.76,28.49,563,178.75
2020-10-01,28.05,29.19,24.51,25.19,293,193.4
2020-11-02,25.15,30.45,25.15,30.45,1035,245.15
2020-12-01,30.22,34.46,30.22,33.74,297,258.95
2021-01-04,34.71,36.41,32.69,33.99,875,302.7
2021-02-01,33.88,41.2,33.88,38.71,3828,491.6
2021-03-01,38.57,45.23,38.57,44.08,1271,555.15
2021-04-01,44.27,51.01,44,51.01,2510,680.65
2021-05-03,51.74,59.1,50.79,54.01,7310,1046.15
2021-06-01,55.16,58.37,52.13,58.37,1746,1132.95
2021-07-01,60.24,60.27,51.9,55.14,2687,1267.3
2021-08-02,55.95,62.59,55.27,62.58,3840,1458.8
2021-09-01,63.2,67.36,60.39,63.72,5587,1736.7
2021-10-01,64.14,66.67,56.43,60.58,4635,1965.3
2021-11-01,60.7,77.35,58.8,77.34,1536,2021.45
2021-12-01,78.17,92.84,75.65,82.69,5875,2240.7
2022-01-03,86.04,92.49,79.75,91.36,3425,2408.75
2022-02-01,89.9,102.06,85.69,85.87,18046,3306.8
2022-03-01,86.1,86.1,59.03,80.95,19822,4279.4
2022-04-01,83.6,94.85,80.84,89.76,10598,4788.95
2022-05-02,88.57,99.25,85.04,91.18,20939,5807.75
2022-06-01,91.86,99.07,86.3,98.4,10678,6327
2022-07-01,98.5,99.24,82.64,84.07,14094,6979.95
2022-08-01,84.95,107.2,84.95,88.11,12532,7591.7
2022-09-01,86.67,89.12,71.85,74.3,14869,8291.4
2022-10-03,71.92,89.45,71.92,87.37,12013,8700.65
2022-11-01,86.75,92.89,78.4,92.64,21420,9708.1
2022-12-01,94.56,98.13,85.29,85.66,18819,10523.55
2023-01-02,87.36,97.78,80.91,97.18,37068,12011.45
2023-02-01,96.61,105.73,93.3,104.29,42776,14062.95
2023-03-01,104.48,105.37,89.05,95.95,81476,18002.4
2023-04-03,96.01,103.08,89.34,91.89,41795,19900.15
2023-05-01,91.79,95.4,83.34,84.88,51369,22189.25
2023-06-01,84.74,100.4,82.13,94.08,67825,25348.75
2023-07-03,93.76,98.08,89.62,91.17,42028,27373.35
2023-08-01,91,94.79,86.5,90.24,66164,30387.8
2023-09-01,90.31,90.5,84.71,85.59,51985,32815.8
2023-10-02,85.6,90.74,82.14,83.33,78211,35824.05
2023-11-01,83.33,84.08,73.6,73.72,154653,42565.6
2023-12-01,74,80.98,68.84,80.19,313148,57693.1
2024-01-02,80.5,81.25,64.73,65.81,192369,66264.6
