,year,EUR_USD,NZ_USD,UK_USD,CHN_USD,WAS_USD
0,2005,16.548031982583886,0.0,0.0,0.0,0.0
1,2006,14.905775243903845,0.0,0.0,0.0,0.0
2,2007,0.5934025905412089,0.0,0.0,0.0,0.0
3,2008,17.767886084339736,0.0,0.0,0.0,0.0
4,2009,12.744077927335177,7.510057899670322,0.0,0.0,0.0
5,2010,13.246772451071427,9.761683395,0.0,0.0,0.0
6,2011,12.618295837796705,9.198562325373626,0.0,0.0,0.0
7,2012,6.522995269531504,3.012394630972606,0.0,0.0,0.0
8,2013,4.081991952387361,1.5454776774807675,0.0,0.0,0.0
9,2014,5.481675010543954,2.2446401901043935,0.0,0.0,0.0
10,2015,5.922897098258243,3.193898099013741,0.0,0.0,0.0
11,2016,4.167792803679452,7.385513833060275,0.0,0.0,0.0
12,2017,4.641195110755496,8.548111477554935,0.0,0.0,0.0
13,2018,12.894347329203296,10.347770506401096,0.0,0.0,0.0
14,2019,19.320068369697783,10.776806247225268,0.0,0.0,0.0
15,2020,19.93446888046575,12.837895579643837,0.0,0.0,0.0
16,2021,44.337243704752744,23.825242554615386,3.1081081524175826,2.271574592747253,0.0
17,2022,60.21032501038463,34.36152585854396,6.403490218708792,5.739083583049456,0.0
18,2023,,,,,
