Date,EUR_USD,Exchange Rate (USD),NZ_USD,UK_USD,CHN_USD,WAS_USD
3/9/2005,13.72869333,0.757537498,#N/A,#N/A,#N/A,#N/A
3/10/2005,14.67914133,0.757537498,#N/A,#N/A,#N/A,#N/A
3/11/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/12/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/13/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/14/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/15/2005,13.99270667,0.757537498,#N/A,#N/A,#N/A,#N/A
3/16/2005,14.20391733,0.757537498,#N/A,#N/A,#N/A,#N/A
3/17/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/18/2005,15.11476333,0.757537498,#N/A,#N/A,#N/A,#N/A
3/19/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/20/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/21/2005,17.75489667,0.757537498,#N/A,#N/A,#N/A,#N/A
3/22/2005,18.90335467,0.757537498,#N/A,#N/A,#N/A,#N/A
3/23/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/24/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/25/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/26/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/27/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/28/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/29/2005,17.75489667,0.757537498,#N/A,#N/A,#N/A,#N/A
3/30/2005,#N/A,0.757537498,#N/A,#N/A,#N/A,#N/A
3/31/2005,18.81095,0.757537498,#N/A,#N/A,#N/A,#N/A
4/1/2005,19.01872,0.772922678,#N/A,#N/A,#N/A,#N/A
4/2/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/3/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/4/2005,21.92974857,0.772922678,#N/A,#N/A,#N/A,#N/A
4/5/2005,21.21816381,0.772922678,#N/A,#N/A,#N/A,#N/A
4/6/2005,18.95403048,0.772922678,#N/A,#N/A,#N/A,#N/A
4/7/2005,19.47154667,0.772922678,#N/A,#N/A,#N/A,#N/A
4/8/2005,18.37182476,0.772922678,#N/A,#N/A,#N/A,#N/A
4/9/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/10/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/11/2005,17.46617143,0.772922678,#N/A,#N/A,#N/A,#N/A
4/12/2005,20.05375238,0.772922678,#N/A,#N/A,#N/A,#N/A
4/13/2005,19.60092571,0.772922678,#N/A,#N/A,#N/A,#N/A
4/14/2005,20.3642621,0.772922678,#N/A,#N/A,#N/A,#N/A
4/15/2005,20.20900724,0.772922678,#N/A,#N/A,#N/A,#N/A
4/16/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/17/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/18/2005,20.24782095,0.772922678,#N/A,#N/A,#N/A,#N/A
4/19/2005,21.15347429,0.772922678,#N/A,#N/A,#N/A,#N/A
4/20/2005,22.90009143,0.772922678,#N/A,#N/A,#N/A,#N/A
4/21/2005,22.64133333,0.772922678,#N/A,#N/A,#N/A,#N/A
4/22/2005,21.86505905,0.772922678,#N/A,#N/A,#N/A,#N/A
4/23/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/24/2005,#N/A,0.772922678,#N/A,#N/A,#N/A,#N/A
4/25/2005,21.55454933,0.772922678,#N/A,#N/A,#N/A,#N/A
4/26/2005,21.7486179,0.772922678,#N/A,#N/A,#N/A,#N/A
4/27/2005,20.99821943,0.772922678,#N/A,#N/A,#N/A,#N/A
4/28/2005,20.57126857,0.772922678,#N/A,#N/A,#N/A,#N/A
4/29/2005,20.70064762,0.772922678,#N/A,#N/A,#N/A,#N/A
